country,year,q1d,q1e,q1f,q1g,q2d,q2e,q2f,q2g
Antigua and Barbuda,2016,30.218687872763418,NA,NA,NA,55.35353535353536,NA,NA,37.39669421487603
Antigua and Barbuda,2018,34.791252485089466,38.73684210526316,42.071881606765324,50.413223140495866,41.4,27.27272727272727,24.63157894736842,19.11764705882353
Antigua and Barbuda,2022,70.87576374745417,84.88120950323975,93.52051835853132,88.37719298245614,12.210526315789473,3.5623409669211195,2.2277227722772275,3.664921465968586
Argentina,2013,25.95959595959596,NA,NA,NA,63.424518743667676,NA,NA,54.51745379876797
Argentina,2016,22.410358565737052,NA,NA,NA,63.6,NA,NA,55.34274193548387
Argentina,2018,33.23412698412698,23.415132924335378,31.392931392931395,22.040816326530614,48.54271356783919,49.28131416837782,45.867768595041326,53.428863868986696
Argentina,2022,36.37566137566138,34.01920438957476,43.232044198895025,30.87248322147651,52.48322147651007,54.986149584487535,45.76976421636616,64.17910447761194
Bahamas,2016,43.66471734892787,NA,NA,NA,42.465753424657535,NA,NA,26.129666011787815
Bahamas,2018,58.057851239669425,54.77272727272727,54.109589041095894,60.31390134529148,27.692307692307693,23.923444976076556,21.48148148148148,20.048309178743963
Bahamas,2022,41.200828157349896,43.207126948775056,37.93859649122807,47.85407725321888,58.81147540983606,37.77777777777778,39.83402489626556,32.563025210084035
Barbados,2016,44.354838709677416,NA,NA,NA,42.38683127572017,NA,NA,29.094827586206897
Barbados,2018,53.9553752535497,50.456621004566216,50.92592592592593,55.28089887640449,32.096069868995635,27.073170731707318,25.188916876574307,22.982885085574573
Barbados,2022,57.599999999999994,61.16700201207244,61.29032258064516,68.8,37.07414829659319,25.910931174089068,23.076923076923077,31.546391752577318
Belize,2014,29.475766567754697,NA,NA,NA,62.37524950099801,NA,NA,34.40643863179074
Belize,2017,18.75,21.753246753246753,26.944140197152244,25.108225108225106,48.32985386221294,37.111111111111114,34.22222222222222,32.075471698113205
Belize,2019,20.466058763931105,24.76290832455216,29.55288985823337,27.604726100966705,53.03810504634397,37.204301075268816,31.70995670995671,35.5531686358754
Belize,2021,34.60754332313966,36.182485579444155,39.85239852398524,41.80967238689547,45.45923632610939,34.70899470899471,31.581740976645435,29.252782193958666
Bolivia,2013,17.946577629382304,NA,NA,NA,58.4241408214585,NA,NA,46.186803770351325
Bolivia,2016,17.9,NA,NA,NA,72.45206861755801,NA,NA,64.13373860182371
Bolivia,2018,20.02012072434608,21.370143149284253,27.789046653144016,23.217922606924642,57.23014256619145,50.36119711042312,43.282051282051285,50.10288065843621
Bolivia,2022,21.464393179538614,17.91497975708502,27.979797979797983,19.878296146044626,68.14516129032258,63.71049949031601,55.306122448979586,68.5336048879837
Brazil,2011,33.37278106508876,NA,NA,NA,45.20710059171598,NA,NA,35.37906137184115
Brazil,2014,26.437941473259336,NA,NA,NA,60.52899287894201,NA,NA,46.17768595041322
Brazil,2017,33.42911877394636,37.57281553398058,44.97560975609756,48.745173745173744,54.71153846153847,49.36831875607386,43.26450344149459,36.5234375
