country,category,mean_q1d,mean_q1e,mean_q1f,mean_q1g,mean_q2d,mean_q2e,mean_q2f,mean_q2g,sd_q1d,sd_q1e,sd_q1f,sd_q1g,sd_q2d,sd_q2e,sd_q2f,sd_q2g,n,upper_q1d,lower_q1d,upper_q1e,lower_q1e,upper_q1f,lower_q1f,upper_q1g,lower_q1g,upper_q2d,lower_q2d,upper_q2e,lower_q2e,upper_q2f,lower_q2f,upper_q2g,lower_q2g
Antigua and Barbuda,Financially Insecured,73.45132743362832,82.35294117647058,92.45283018867924,92.07920792079209,10,0,2.1739130434782608,0,44.35590457361472,38.31026206361221,26.540582429993325,27.140995990684214,30.137300488496727,0,14.662959759729016,0,117,81.48870889740066,65.41394596985599,89.2948397386183,75.41104261432287,97.26203850741663,87.64362186994185,96.99721241604044,87.16120342554373,15.460941054924824,4.539058945075176,0,0,4.830871617759939,-0.48304553080341783,0,0
Antigua and Barbuda,Financially Secured,68.38235294117648,84.70588235294117,94.16342412451361,86.27450980392157,11.494252873563218,5.5813953488372094,2.690582959641256,6.280193236714976,46.583981033271336,36.0638618372468,23.489121167671897,34.479297926250005,31.95653546852652,23.00978312673178,16.217226163354876,24.319450523169433,274,73.89826572012122,62.86644016223174,88.97612959145198,80.43563511443037,96.94472234637243,91.38212590265479,90.35713210931473,82.19188749852842,15.278160097717171,7.710345649409264,8.305936145357748,2.8568545523166704,4.610831144732969,0.7703347745495428,9.159809039019546,3.4005774344104065
Argentina,Financially Insecured,35.853658536585364,32.73657289002558,43.81443298969072,30.576441102756892,55.223880597014926,60.824742268041234,52.2077922077922,67.67676767676768,48.015666237034516,46.985318683760624,49.679974263581535,46.13088813982188,49.7883262751668,48.87721478620074,50.016231131737385,46.83022464077428,413,40.48454362835529,31.222773444815438,37.26808580813362,28.20505997191754,48.605832759945,39.02303321943644,35.0255482150526,26.127333990461185,60.025730408983435,50.42203078504642,65.53871966373701,56.110764872345456,57.03162237086996,47.383962044714444,72.19332250415712,63.16021284937825
Argentina,Financially Secured,36.811594202898554,35.311572700296736,42.68656716417911,31.01449275362319,49.41520467836257,48.348348348348345,38.50746268656716,60.29411764705882,48.29935581517037,47.86489806595738,49.53623513624919,46.32245824852909,50.06983512895445,50.04791654581721,48.73408634299486,49.00095081358204,345,41.90828001708184,31.71490838871527,40.362413293360525,30.26073210723295,47.91377201289617,37.45936231546205,35.90257069687439,26.126414810371994,54.69871652056576,44.13169283615938,53.62954727912948,43.06714941756721,43.65002250624721,33.36490286688711,65.4648377669871,55.123397527130535
Bahamas,Financially Insecured,41.61849710982659,46.58385093167702,38.65030674846626,46.3855421686747,51.41242937853108,32.758620689655174,35.42857142857142,27.906976744186046,49.43558298604407,50.03880481763768,48.84487080775536,50.020076290710655,50.12183410175327,47.068751957145295,47.966874174396615,44.98515100218643,177,48.90147679014559,34.3355174295076,53.95569883356551,39.21200302978853,45.846261162134546,31.45435233479797,53.75463093487968,39.016453402469715,58.796509372215795,44.028349384846365,39.69291261817635,25.824328761134,42.49517707655517,28.361965780587674,34.53430711788663,21.27964637048547
Bahamas,Financially Secured,40.21739130434783,38.49056603773585,33.58490566037736,45.588235294117645,61.95652173913043,41.25874125874126,43.38235294117647,35.31598513011153,49.122738912451425,48.7493677664945,47.31800619945671,49.89678950371838,48.63756416825728,49.31626731178979,49.65148780185447,47.88427207527418,288,45.890778197604774,34.54400441109088,44.12083076368923,32.86030131178248,39.04985655950164,28.11995476125308,51.35102046964543,39.82545011858986,67.57387380827961,56.33916966998124,46.95447954177385,35.56300297570867,49.116807215556236,37.647898666796706,40.84633640122417,29.785633858998885
Barbados,Financially Insecured,48.598130841121495,51.4018691588785,55.23809523809524,52.336448598130836,39.25233644859813,26.168224299065418,29.906542056074763,31.63265306122449,50.21554668176735,50.21554668176735,49.963356535935375,50.18041862802316,49.06101196910745,44.16189896734566,46.000314336555284,46.74329716656821,107,58.11299029487101,39.08327138737198,60.91672861262801,41.88700970512898,64.70516961427867,45.771020861911815,61.844651975896994,42.82824522036468,48.5484342587664,29.95623863842986,34.53603645389251,17.80041214423833,38.62269780191156,21.19038631023796,40.489589455112835,22.775716667336145
Barbados,Financially Secured,64.30594900849859,70,67.52136752136752,80.45325779036827,33.52272727272727,28.160919540229884,23.054755043227665,34.48275862068966,47.97771018646084,45.89136293440278,46.896347397930676,39.71229911506482,47.274184126735435,45.04314257575881,42.17915134576645,47.5996420854404,353,69.31099687628436,59.30090114071281,74.78739955099886,65.21260044900114,72.41360732686768,62.62912771586736,84.59605571128314,76.3104598694534,38.45438310926613,28.591071436188415,32.85983251108675,23.462006569373017,27.454895664522184,18.654614421933147,39.448366320623826,29.517150920755494
Bolivia,Financially Insecured,20.057306590257877,15.561959654178676,25.072046109510087,16.909620991253643,67.621776504298,64.6376811594203,55.202312138728324,69.18604651162791,40.10040752323217,36.30177856227563,43.405375084933475,37.5384480580174,46.85898613811907,47.878835390266936,49.8006413482446,46.239713000589,352,24.246530039209333,15.868083141306423,19.35434659946403,11.769572708893321,29.60653406978806,20.53755814923211,20.83120075950876,12.988041222998524,72.51705751634685,62.72649549224914,69.63950414112415,59.635858177716436,60.40490301983147,49.999721257625175,74.01663308017157,64.35545994308424
Bolivia,Financially Secured,21.09500805152979,18.47649918962723,29.516129032258064,21.32471728594507,69.19354838709677,63.029315960912044,55.48281505728314,68.29268292682927,40.83119053127827,38.842169588911766,45.64835104011123,40.993205921914836,46.2066156680188,48.311885606808225,49.73919801271134,46.571497991803994,621,24.306466551878593,17.883549551180984,21.53151703444723,15.42148134480723,33.10646727778073,25.925790786735398,24.548918635490214,18.100515936399926,72.82779531275857,65.55930146143497,66.82914676871107,59.22948515311301,59.39490696986381,51.57072314470247,71.95562861010994,64.6297372435486
