group,category,q48e_G1,q48f_G1,q48g_G1,q48e_G2,q48f_G2,q48g_G2
Antigua and Barbuda,Financially Insecured,0.27450980392156865,0.9583333333333334,0.9642857142857143,0.12121212121212122,0.11764705882352938,0.060606060606060635
Antigua and Barbuda,Financially Secured,0.393103448275862,0.8382352941176471,0.9379310344827585,0.06796116504854371,0.02912621359223302,0.04807692307692305
Argentina,Financially Insecured,0.29500000000000004,0.6515151515151516,0.801980198019802,0.4365482233502538,0.35175879396984927,0.311881188118812
Argentina,Financially Secured,0.21910112359550565,0.6331360946745562,0.8089887640449438,0.3291925465838509,0.29813664596273287,0.24539877300613502
Bahamas,Financially Insecured,0.5915492957746478,0.7586206896551724,0.5573770491803278,0.32894736842105265,0.2898550724637682,0.34782608695652184
Bahamas,Financially Secured,0.5197368421052632,0.6746031746031745,0.577777777777778,0.5258620689655172,0.3898305084745763,0.453781512605042
Barbados,Financially Insecured,0.5862068965517241,0.40384615384615385,0.36206896551724144,0.7804878048780488,0.75,0.75
Barbados,Financially Secured,0.881578947368421,0.2340425531914892,0.1838235294117648,0.8333333333333333,0.7959183673469387,0.8492462311557789
Bolivia,Financially Insecured,0.15697674418604649,0.3764705882352941,0.6551724137931034,0.37647058823529406,0.3099415204678363,0.3313609467455622
Bolivia,Financially Secured,0.1740506329113924,0.40445859872611456,0.7886435331230284,0.41463414634146345,0.3436426116838488,0.30375426621160406
Brazil,Financially Insecured,0.2566844919786096,0.5652173913043479,0.7849462365591398,0.3401015228426397,0.29500000000000004,0.31500000000000006
Brazil,Financially Secured,0.36417910447761187,0.6615853658536586,0.8076923076923078,0.35849056603773594,0.331230283911672,0.34591194968553457
Colombia,Financially Insecured,0.21074380165289255,0.5601659751037346,0.6970954356846472,0.3192307692307694,0.24809160305343506,0.21969696969696967
Colombia,Financially Secured,0.25654450261780104,0.5343915343915343,0.625,0.3451776649746193,0.29500000000000004,0.2663316582914573
Costa Rica,Financially Insecured,0.5,0.6072874493927125,0.6285714285714287,0.6289752650176679,0.6231884057971014,0.6129032258064515
Costa Rica,Financially Secured,0.47196261682242985,0.6540284360189574,0.7109004739336493,0.6666666666666667,0.5841121495327103,0.6
Dominica,Financially Insecured,0.2289156626506023,0.6541353383458646,0.6605504587155964,0.4235294117647059,0.3793103448275862,0.6082474226804123
Dominica,Financially Secured,0.5196078431372549,0.6666666666666667,0.7912087912087912,0.23863636363636367,0.38888888888888895,0.5053763440860215
Dominican Republic,Financially Insecured,0.2618296529968453,0.4487179487179486,0.7420382165605096,0.5241379310344827,0.4844290657439446,0.5208333333333333
Dominican Republic,Financially Secured,0.35802469135802467,0.5370370370370371,0.6564417177914109,0.5200000000000001,0.5029239766081871,0.488235294117647
Ecuador,Financially Insecured,0.17085427135678388,0.5051020408163266,0.7171717171717171,0.4488888888888889,0.3700440528634361,0.3407079646017698
Ecuador,Financially Secured,0.2170542635658915,0.55859375,0.8146718146718146,0.3450980392156862,0.27027027027027034,0.24806201550387594
Grenada,Financially Insecured,0.8529411764705882,0.5,0.5,0.6052631578947368,0.5588235294117647,0.5
Grenada,Financially Secured,0.8089887640449438,0.5449101796407185,0.6578947368421053,0.5984848484848484,0.5680000000000001,0.5076923076923077
Guyana,Financially Insecured,0.4259259259259259,0.7592592592592593,0.6181818181818182,0.29999999999999993,0.26,0.25
Guyana,Financially Secured,0.26086956521739124,0.5147058823529411,0.5147058823529411,0.3275862068965517,0.31666666666666665,0.4067796610169492
Haiti,Financially Insecured,0.22905027932960892,0.3085714285714285,0.5810055865921788,0.4757281553398057,0.41626794258373195,0.339622641509434
Haiti,Financially Secured,0.33333333333333337,0.3333333333333333,0.5384615384615384,0.33333333333333337,0.33333333333333337,0.19047619047619047
Jamaica,Financially Insecured,0.4789915966386554,0.617391304347826,0.6885245901639345,0.44954128440366986,0.49074074074074076,0.46226415094339623
Jamaica,Financially Secured,0.47967479674796754,0.584070796460177,0.6803278688524591,0.4854368932038836,0.5142857142857142,0.5841584158415841
Peru,Financially Insecured,0.17283950617283955,0.4388185654008439,0.6846473029045642,0.487603305785124,0.38524590163934436,0.38683127572016457
Peru,Financially Secured,0.2247191011235955,0.5454545454545455,0.7840909090909091,0.43478260869565216,0.3978494623655914,0.3675675675675676
St. Kitts and Nevis,Financially Insecured,0.3655913978494623,0.7526881720430108,0.782608695652174,0.4625,0.2875,0.3924050632911393
St. Kitts and Nevis,Financially Secured,0.37931034482758613,0.7333333333333333,0.7790697674418604,0.4068965517241379,0.2657342657342657,0.35074626865671643
St. Lucia,Financially Insecured,0.5106382978723405,0.5294117647058825,0.5842696629213483,0.45333333333333337,0.36923076923076925,0.484375
St. Lucia,Financially Secured,0.3272727272727273,0.5636363636363637,0.6132075471698114,0.26890756302521013,0.2231404958677686,0.26548672566371684
St. Vincent and the Grenadines,Financially Insecured,0.4207317073170732,0.5821917808219179,0.5099337748344371,0.29591836734693877,0.3052631578947368,0.3076923076923077
St. Vincent and the Grenadines,Financially Secured,0.3125,0.40952380952380957,0.7363636363636363,0.21333333333333332,0.19230769230769226,0.2533333333333333
Suriname,Financially Insecured,0.35675675675675683,0.48520710059171596,0.5988700564971752,0.4934210526315789,0.52,0.5592105263157896
Suriname,Financially Secured,0.5471698113207547,0.6,0.6808510638297872,0.21428571428571427,0.5454545454545454,0.6842105263157895
Trinidad and Tobago,Financially Insecured,0.4258064516129032,0.6786885245901639,0.7661016949152543,0.39325842696629215,0.4285714285714285,0.4642857142857143
Trinidad and Tobago,Financially Secured,0.4814814814814814,0.6583850931677018,0.782608695652174,0.3658536585365854,0.4478527607361963,0.4683544303797469
Venezuela,Financially Insecured,0.3629441624365482,0.5249343832021,0.7760416666666666,0.6017441860465116,0.5074183976261126,0.5102639296187683
Venezuela,Financially Secured,0.3529411764705882,0.6019417475728156,0.8269230769230769,0.6428571428571429,0.5520833333333333,0.4838709677419355
Antigua and Barbuda,Female,0.31147540983606553,0.853448275862069,0.9618320610687023,0.05102040816326533,0.04807692307692305,0.0588235294117647
Antigua and Barbuda,Male,0.49253731343283585,0.9291338582677164,0.9469696969696968,0.07894736842105261,0.02597402597402597,0.025316455696202514
Argentina,Female,0.2736842105263158,0.6593406593406594,0.7643979057591622,0.37569060773480667,0.2880434782608695,0.27419354838709675
Argentina,Male,0.2433862433862433,0.6270270270270272,0.8473684210526315,0.4011299435028249,0.3693181818181818,0.29050279329608947
Bahamas,Female,0.35779816513761475,0.6853932584269663,0.6568627450980393,0.40952380952380957,0.31067961165048547,0.4660194174757282
Bahamas,Male,0.6764705882352939,0.7672413793103449,0.5867768595041323,0.4891304347826087,0.42222222222222217,0.38461538461538464
Barbados,Female,0.6140350877192982,0.38461538461538464,0.24299065420560745,0.8661971830985915,0.7841726618705037,0.801418439716312
Barbados,Male,0.9173553719008265,0.28440366972477055,0.25233644859813087,0.7857142857142857,0.712962962962963,0.7798165137614679
Bolivia,Female,0.17355371900826444,0.41004184100418406,0.7479674796747967,0.43277310924369733,0.4049586776859504,0.3682008368200837
Bolivia,Male,0.1744186046511628,0.3852140077821012,0.7392996108949417,0.375,0.264069264069264,0.25431034482758613
Brazil,Female,0.28368794326241137,0.6153846153846154,0.7872340425531915,0.32472324723247226,0.3051470588235295,0.3003663003663004
Brazil,Male,0.37051792828685254,0.6479999999999999,0.8063241106719369,0.3815261044176707,0.3293172690763053,0.37200000000000005
Colombia,Female,0.23046875,0.5533596837944664,0.7035573122529644,0.32773109243697485,0.2633744855967078,0.24897959183673474
Colombia,Male,0.23529411764705876,0.5068493150684933,0.581081081081081,0.34645669291338577,0.3031496062992124,0.2371541501976283
Costa Rica,Female,0.4497816593886462,0.6294642857142858,0.695067264573991,0.619607843137255,0.610655737704918,0.600806451612903
Costa Rica,Male,0.5145228215767634,0.6166666666666666,0.638655462184874,0.6798418972332015,0.6071428571428572,0.6175298804780877
Dominica,Female,0.2206896551724138,0.6666666666666667,0.7156862745098038,0.5257731958762887,0.4752475247524752,0.6930693069306931
Dominica,Male,0.4661654135338346,0.654867256637168,0.7428571428571429,0.08536585365853655,0.25609756097560976,0.4000000000000001
Dominican Republic,Female,0.2874493927125506,0.4938271604938269,0.7206477732793523,0.5228215767634855,0.49576271186440685,0.5213675213675214
Dominican Republic,Male,0.3142857142857144,0.4567901234567901,0.7078189300411523,0.531645569620253,0.48936170212765945,0.4957983193277311
Ecuador,Female,0.1888412017167382,0.5462555066079295,0.7835497835497836,0.373015873015873,0.328125,0.2908366533864542
Ecuador,Male,0.20746887966804978,0.5186721991701245,0.7634854771784232,0.4261603375527427,0.3138075313807531,0.29338842975206614
Grenada,Female,0.712962962962963,0.5306122448979591,0.4893617021276595,0.7047619047619047,0.673076923076923,0.5648148148148148
